Lessonid,Description,Courseid,Id
0,1. Introduction,6,1768
1,1. Introduction,7,1919
1,1. Introduction,8,2185
1,1. Welcome To The Course!,5,1278
1,1. Introduction,1,1
1,1. Welcome to the Course!,2,616
1,1. Course Introduction,3,814
1,1. Welcome to the Course,9,2482
1,1. Course Introduction,10,2741
1,1. Introduction,11,3030
1,1. Introduction,12,3174
1,1. Microservicios y Kubernetes - acceso gratuito a curso devOps Kubernetes,13,3299
1,1. Estructura del Curso muy importante y regalo de curso,14,3425
1,1. Microservicios y Kubernetes - acceso gratuito a curso devOps Kubernetes,15,3711
1,1. Instalar .Net Core,17,3795
1,1. Test Automaticos,18,4021
1,1. Instalar Visual Studio,19,4071
1,1. Instalar Visual Studio Code,20,4114
1,1. Instalar NodeJS,21,4217
1,1. Estructura del Curso muy importante y regalo de curso,22,4379
1,1. Instalacion de Visual Studio,23,4587
1,1. Introduction,24,4636
1,1. Introduction to the course,25,4951
1,"1. Introducción al Máster en CSS: CSS3, Responsive, SASS, LESS, Flexbox, Grid y más",28,6212
1,1. Introducción,29,6423
1,1. Introducción,30,6716
1,1. Introduction,31,6899
1,1. Códi del Curso en Github,32,7040
1,1. Course introduction,33,7119
1,1. Introduction,34,7412
1,1. Bienvenida,35,7638
1,1. Bienvenida,36,7752
1,1. Angular Testing Course - Helicopter View,37,7856
1,1. Welcome To The Course,38,7901
1,1. Welcome To The Course,39,8030
1,1. Introducción y que vas aprender en este curso,40,8104
1,1. Introducción,41,8300
1,1. Introducción al comienzo del curso,42,8552
1,1. What is Xamarin?,43,8764
1,1. ¿Por qué RxJS?,44,8951
1,1. Introducción,45,8991
1,1. Introducción,46,9097
1,1. 1. Introducci�n,47,9488
1,1. 1. Presentación de todo el Master,49,9772
1,1.  Comandos esenciales,48,9748
2,2.  Buscar ficheros,48,9749
2,2. 2. Instructor Mariano Rivas,49,9773
2,2. 2. Introducci�n a la secci�n,47,9489
2,2. ¿Cómo funcionará el curso?,45,9067
2,2. El patrón Observer,44,8972
2,2. Cómo aprovechar al máximo este Curso,46,9361
2,2. Why use Xamarin,43,8882
2,2. Cómo conseguir todas las cosas gratis,42,8685
2,2. Como seguir este curso y sacar el maximo provecho (y descarga de recursos),41,8458
2,2. Que es Bootstrap,40,8227
2,2. What Is Bootstrap &amp; Why Use It?,39,8082
2,2. How The Web Works (Summarized),38,7994
2,2. IMPORTANT - Recommended Software Versions,37,7880
2,2. Qué es .Net Core,36,7826
2,2. Introducción,35,7720
2,2. Setting up the developer environment,33,7316
2,2. Setting up the project,34,7554
2,2. Actualización del Curso,32,7096
2,2. ¿Qué es Angular?,31,6988
2,2. ¿Qué es un API?,30,6832
2,2. HTML - ¿Que aprenderemos?,29,6620
2,2. Setting up the developer environment,25,5117
2,2. HTML - ¿Que aprenderás?,28,6345
2,2. Setting up the developer environment,24,4849
2,2. Instalacion de NET SDK,23,4613
2,2. Instalar Visual Studio 2019,22,4510
2,2. Instalar Visual Code,21,4319
2,2. Instalacion de NodeJS,20,4188
2,2. Instalar SDK NET Core 5 - Muy Importante!,19,4094
2,2. Herramientas del curso,18,4047
2,"2. Instalar Visual Studio Code y Extensiones de C#, ASP.NET Core",17,3937
2,2. Nuestro Proyecto Arquitectura con Microservices,15,3770
2,2. Instalacion de NodeJS,14,3618
2,2. Por que Microservicios?,13,3390
2,2. Join our Online Learning Community,12,3264
2,2. Web Components - A Quick Demo,11,3121
2,2. What Is Docker?,9,2645
2,2. What Is Ionic?,10,2936
2,2. What is CSS?,8,2385
2,2. What Is TypeScript &amp; Why Should You Use It?,2,741
2,2. What is Angular?,3,1129
2,2. What is JavaScript?,1,406
2,2. What is React.js?,5,1611
2,2. What is MonDB?,7,2086
2,2. What is MEAN?,6,1864
3,3. Join our Online Learning Community,6,1865
3,3. Join our Online Learning Community,7,2087
3,3. Why React Instead Of Just JavaScript?,5,1610
3,3. JavaScript in Action!,1,407
3,3. Join our Online Learning Community,3,1128
3,3. Join Our Learning Community,2,742
3,3. Join our Online Learning Community,8,2384
3,3. Join our Online Learning Community,10,2935
3,3. Why Docker &amp; Containers?,9,2646
3,3. What are Web Components,11,3122
3,3. Understanding the Prerequisites,12,3263
3,3. Docker Containers y Microservicios,13,3389
3,3. Instalar Visual Studio Code,14,3617
3,3. Instalacion de Visual Studio 2019,15,3769
3,3. Instalacion de SQL Server,17,3938
3,3. Creacion de solucion y proyecto,18,4048
3,3. Que es gRPC?,19,4095
3,3. Instalar extensiones,20,4187
3,3. Proyecto Web Tradicionales y SPA,21,4320
3,3. Instalar Postman,22,4511
3,3. Arquitectura Microservices  y devOps,23,4614
3,3. Setting up VS Code for C# development,24,4848
3,3. ¿Que es HTML y para que sirve?,28,6346
3,3. Getting help,25,5118
3,3. ¿Que es HTML?,29,6619
3,3. ¿Qué es REST? - Principios de REST,30,6833
3,3. Angular vs AngularJS,31,6989
3,3. Introducción al Módulo 1 - Entity Framework,32,7095
3,3. Setting up the developer environment,34,7555
3,3. VS Code extensions,33,7315
3,3. Etapas en el Desarrollo del Software,35,7719
3,3. Qué es ASP.NET Core,36,7825
3,3. Angular Testing Course - Development Environment Setup,37,7881
3,3. The Roles Of HTML &amp; CSS In Web Development,38,7993
3,3. What's New In Bootstrap 4?,39,8081
3,3. Herramientas que utilizaremos,40,8228
3,3. Introducción,41,8459
3,3. Comenzando en Windows,42,8686
3,3. The Apps we'll build,43,8883
